Property Type,Total Sales,Avg Sale Price,Transactions,Avg Price Per SqFt
Condos - Elevator Apartments,18206161845.0,1798139.44,10125,
Coops - Elevator Apartments,8665289025.0,756793.8,11450,12.58
One Family Dwellings,8253513981.0,653847.26,12623,420.68
Two Family Dwellings,7816682067.0,800233.63,9768,379.46
Rentals - Walkup Apartments,4536256600.0,2698546.46,1681,410.57
Three Family Dwellings,2298789984.0,999908.65,2299,353.44
Condos - 2-10 Unit Residential,1477366588.0,1435730.41,1029,
Store Buildings,1276312133.0,2811260.2,454,606.04
Coops - Walkup Apartments,1191667019.0,478773.41,2489,159.51
Condo Coops,1051686974.0,951752.92,1105,
Rentals - Elevator Apartments,733946160.0,7807937.87,94,431.49
Tax Class 1 Condos,701620204.0,565822.75,1240,
Rentals - 4-10 Unit,692224162.0,2169981.7,319,459.41
Commercial Garages,531942933.0,2086050.72,255,1272.31
Condo Office Buildings,463588803.0,2042241.42,227,
Office Buildings,441202364.0,2757514.78,160,437.74
Warehouses,432884616.0,2905265.88,149,415.57
Condos - Walkup Apartments,427643231.0,653888.73,654,
Factories,347152361.0,3542371.03,98,404.45
Commercial Vacant Land,333833625.0,2035570.88,164,200.62
Tax Class 1 Vacant Land,320168784.0,693006.03,462,295.19
Condo Store Buildings,225530297.0,3523910.89,64,
Religious Facilities,155886885.0,2555522.7,61,522.33
Hospital And Health Facilities,102772621.0,4893934.33,21,770.19
Loft Buildings,101305656.0,6331603.5,16,688.99
Condos - 2-10 Unit With Commercial Unit,98635260.0,2988947.27,33,
Educational Facilities,95431109.0,4149178.65,23,405.09
Tax Class 4 - Other,79527101.0,1590542.02,50,2788.57
Other Hotels,62529347.0,977021.05,64,67.69
Condo Hotels,58553773.0,760438.61,77,
Asylums And Homes,53438089.0,4453174.08,12,494.45
Condo Parking,49071772.0,241732.87,203,
Condo-Rentals,30720589.0,2560049.08,12,325.12
Commercial Condos,27606635.0,2300552.92,12,
Indoor Public And Cultural Facilities,27118550.0,1937039.29,14,404.58
Tax Class 1 - Other,25079830.0,557329.56,45,1018.38
Theatres,12211750.0,6105875.0,2,221.24
Outdoor Recreational Facilities,9445800.0,1889160.0,5,182.48
Condo Terraces/Gardens/Cabanas,3408613.0,309873.91,11,
Condo Cultural/Medical/Educational/Etc,3103207.0,1034402.33,3,
Condo Non-Business Storage,2178563.0,87142.52,25,
Special Condo Billing Lots,600000.0,600000.0,1,21.74
Transportation Facilities,220000.0,220000.0,1,
Condo Warehouses/Factory/Indus,25000.0,25000.0,1,
