Month Date,Sale Year,Sale Month,Total Sales,Avg Sale Price,Median Sale Price,Transactions,Avg Price Per SqFt
2016-09-01,2016,9,5431425063.0,1028678.99,600000.0,5280,391.45
2016-10-01,2016,10,4325206915.0,979218.23,610000.0,4417,391.11
2016-11-01,2016,11,4571097778.0,991131.35,600000.0,4612,388.54
2016-12-01,2016,12,5649526882.0,1088540.83,616520.5,5190,406.85
2017-01-01,2017,1,4946788968.0,1066118.31,638000.0,4640,403.16
2017-02-01,2017,2,4479339993.0,1047553.79,620000.0,4276,421.94
2017-03-01,2017,3,5222218625.0,1025774.63,607250.0,5091,401.86
2017-04-01,2017,4,4648158356.0,1079210.21,625000.0,4307,411.56
2017-05-01,2017,5,5566481117.0,1097708.76,655000.0,5071,406.41
2017-06-01,2017,6,6694999286.0,1146207.72,680000.0,5841,422.1
2017-07-01,2017,7,5069023601.0,1105807.94,681113.5,4584,427.24
2017-08-01,2017,8,4820067322.0,1123035.26,713887.5,4292,449.55
